OurAffLink,Title,Image,Price,Merchant,Points,Team,Type,Season,ID
http://www.awin1.com/pclick.php?p=3517679273&a=215431&m=6716,2013-14 Stoke City '150 Years' Home L/S Shirt *BNIB*,https://www.classicfootballshirts.co.uk/media/catalog/product/s/t/stoke-13-home-tags-ls_2.jpg,14.99,classic football shirts,0,Stoke City,shirt,2013,35
http://www.awin1.com/pclick.php?p=3517679277&a=215431&m=6716,2013-14 Stoke City '150 Years' Home Shirt *BNIB* M.Boys,https://www.classicfootballshirts.co.uk/media/catalog/product/s/t/stoke-13-home-boys-ns-tags.jpg,6.99,classic football shirts,0,Stoke City,shirt,2013,36
http://www.awin1.com/pclick.php?p=3517679283&a=215431&m=6716,2013-14 Stoke City '150 Years' Adidas Training Shirt *BNIB*,https://www.classicfootballshirts.co.uk/media/catalog/product/s/t/stoke-13-train-yell-spons-tags.jpg,8.99,classic football shirts,0,Stoke City,shirt,2013,37
http://www.awin1.com/pclick.php?p=3517679407&a=215431&m=6716,2014-15 Liverpool Home L/S Shirt *BNIB*,https://www.classicfootballshirts.co.uk/media/catalog/product/l/i/liverpool-14-home-ls-tags_3_3.jpg,22.99,classic football shirts,0,Liverpool,shirt,2014,38
http://www.awin1.com/pclick.php?p=3517679811&a=215431&m=6716,2012-13 Chelsea Champions League Training Shirt *BNIB*,https://www.classicfootballshirts.co.uk/media/catalog/product/c/h/chelsea-12-train-navycl-tags_1.jpg,19.99,classic football shirts,0,Chelsea,shirt,2012,39
http://www.awin1.com/pclick.php?p=3517680209&a=215431&m=6716,2010-12 Liverpool TechFit Player Issue GK Shirt *BNIB*,https://www.classicfootballshirts.co.uk/media/catalog/product/l/i/liverpool-10-gk-grey-pi-tags_2_2.jpg,22.99,classic football shirts,0,Liverpool,shirt,2010,40
http://www.awin1.com/pclick.php?p=3517680321&a=215431&m=6716,2014-15 Manchester City Player Issue GK Home Shirt *BNIB* XL,https://www.classicfootballshirts.co.uk/media/catalog/product/m/a/man-city-14-gk-grn-pi-tags_1.jpg,59.99,classic football shirts,0,Manchester City,shirt,2014,41
http://www.awin1.com/pclick.php?p=3517680323&a=215431&m=6716,2014-15 Manchester City Player Issue GK Away Shirt *BNIB* XL,https://www.classicfootballshirts.co.uk/media/catalog/product/m/a/man-city-14-gk-yel-pi-tags_1.jpg,59.99,classic football shirts,0,Manchester City,shirt,2014,42
http://www.awin1.com/pclick.php?p=3517680461&a=215431&m=6716,2012-13 Manchester United GK Home Shirt *BNIB* BOYS,https://www.classicfootballshirts.co.uk/media/catalog/product/m/a/man-united-12-gk-green-boys-tags.jpg,17.99,classic football shirts,0,Manchester United,shirt,2012,43
http://www.awin1.com/pclick.php?p=3517680481&a=215431&m=6716,2012-13 Arsenal GK Home Shirt *BNIB* BOYS,https://www.classicfootballshirts.co.uk/media/catalog/product/a/r/arsenal-12-gk-green-boys-tags.jpg,14.99,classic football shirts,0,Arsenal,shirt,2012,44
http://www.awin1.com/pclick.php?p=3517680543&a=215431&m=6716,2012-13 Manchester United GK Away Shirt *BNIB* XL.Boys,https://www.classicfootballshirts.co.uk/media/catalog/product/m/a/man-united-12-gk-blue-boys-tags.jpg,17.99,classic football shirts,0,Manchester United,shirt,2012,45
http://www.awin1.com/pclick.php?p=3517680545&a=215431&m=6716,2012-13 Manchester United Home Shirt *BNIB* BOYS,https://www.classicfootballshirts.co.uk/media/catalog/product/m/a/man-united-12-home-boys-tags_2.jpg,17.99,classic football shirts,0,Manchester United,shirt,2012,46
http://www.awin1.com/pclick.php?p=3517680547&a=215431&m=6716,2012-13 Manchester United GK Home Shirt *BNIB* L,https://www.classicfootballshirts.co.uk/media/catalog/product/m/a/man-utd-12-gk-green_5.jpg,29.99,classic football shirts,0,Manchester United,shirt,2012,47
http://www.awin1.com/pclick.php?p=3517680549&a=215431&m=6716,2012-13 Manchester United Home Shirt *BNIB* XL,https://www.classicfootballshirts.co.uk/media/catalog/product/m/a/man-united-12-home-tags_1_2.jpg,19.99,classic football shirts,0,Manchester United,shirt,2012,48
http://www.awin1.com/pclick.php?p=3517680947&a=215431&m=6716,2012-13 Manchester City L/S Away Shirt *BNIB*,https://www.classicfootballshirts.co.uk/media/catalog/product/m/a/man-city-12-away-ls-tags_3.jpg,19.99,classic football shirts,0,Manchester City,shirt,2012,49
http://www.awin1.com/pclick.php?p=3517680973&a=215431&m=6716,2012-13 Liverpool Third Shirt *BNIB* L.Boys,https://www.classicfootballshirts.co.uk/media/catalog/product/l/i/liverpool-12-third-boys-tags.jpg,14.99,classic football shirts,0,Liverpool,shirt,2012,50
http://www.awin1.com/pclick.php?p=3517680975&a=215431&m=6716,2012-13 Liverpool Third Shirt *BNIB* XL.Boys,https://www.classicfootballshirts.co.uk/media/catalog/product/l/i/liverpool-12-third-boys-tags_1.jpg,17.99,classic football shirts,0,Liverpool,shirt,2012,51
http://www.awin1.com/pclick.php?p=3517681121&a=215431&m=6716,2012-13 Liverpool Home Shirt *BNIB* L.Boys,https://www.classicfootballshirts.co.uk/media/catalog/product/l/i/liverpool-12-home-boys-tags_1_1.jpg,17.99,classic football shirts,0,Liverpool,shirt,2012,52
